# SUPERSEDED — reference-limited. Lags here come from correlating IMU acceleration against d(GPS speed)/dt.
# Differentiating 1 Hz quantised GPS speed caps the achievable correlation: even a perfect ECU
# accelerometer reaches only r = 0.12-0.58 against this reference, versus 0.93 against ECU speed.
# For S- files |r| is ~0.29, so the lag argmax is noise. Use time_offsets_distance.csv instead.
session,role,group,best_lag_ms,peak_correlation,n_samples_used,suspect,multi_axis_R,multi_axis_lag_ms,best_yaw_rad,yaw_drift_rad,yaw_thirds,channel,note,method
V-vta2,stage0_only,Vta,-100.0,0.9551583410976944,10990,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta20,stage0_only,Vta,-500.0,0.642914648088291,3222,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta21,stage0_only,Vta,-100.0,0.8492056063434941,2079,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta22,stage0_only,Vta,-100.0,0.8218773449165389,1564,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta23,stage0_only,Vta,0.0,0.7024685499453771,1110,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta24,stage0_only,Vta,0.0,0.8911591543474744,1170,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta25,stage0_only,Vta,0.0,0.9560366255920174,645,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta26,stage0_only,Vta,0.0,0.7051243821677736,1935,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta27,stage0_only,Vta,-100.0,0.7886112839726618,2539,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta28,stage0_only,Vta,-100.0,0.7867475612370125,4209,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta29,stage0_only,Vta,-100.0,0.7706975975360295,23705,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta3,stage0_only,Vta,0.0,0.9748963665349571,645,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta30,stage0_only,Vta,0.0,0.827341319570609,17135,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta4,stage0_only,Vta,-100.0,0.9350594472680481,1789,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta5,stage0_only,Vta,0.0,0.9711537425019406,306,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta6,stage0_only,Vta,0.0,0.8738707699768647,1375,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta7,stage0_only,Vta,-100.0,0.9833211754137986,840,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta8,stage0_only,Vta,-100.0,0.9639731675632817,3675,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta9,stage0_only,Vta,,,0,True,,,,,,too few timestamps,,accel_correlation
V-vtb1,stage0_only,Vtb,-100.0,0.8343701714041514,32458,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb10,stage0_only,Vtb,,,0,True,,,,,,too few timestamps,,accel_correlation
V-vtb11,stage0_only,Vtb,-100.0,0.8693179568484494,360,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb12,stage0_only,Vtb,-200.0,0.9906348874882317,446,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vtb13,stage0_only,Vtb,0.0,0.9098197442279233,1244,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb2,stage0_only,Vtb,-100.0,0.6931139398154309,5711,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb3,stage0_only,Vtb,0.0,0.30226219206430793,8240,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb4,stage0_only,Vtb,0.0,0.7916675072216497,555,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb5,stage0_only,Vtb,-100.0,0.8574392238184112,64388,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb6,stage0_only,Vtb,-100.0,0.9977582444446403,498,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb7,stage0_only,Vtb,-100.0,0.9923119235063287,460,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb8,stage0_only,Vtb,-100.0,0.9612815362996918,667,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vtb9,stage0_only,Vtb,-100.0,0.9779272047369758,452,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw1,stage0_only,Vw,,,0,True,,,,,,flat signal,,accel_correlation
V-Vw10,stage0_only,Vw,0.0,0.8704261967606619,651,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw11,stage0_only,Vw,-100.0,0.9632240347240323,4909,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw12,stage0_only,Vw,-200.0,0.9491551949113018,918,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw13,stage0_only,Vw,,,0,True,,,,,,too few timestamps,,accel_correlation
V-Vw14a,stage0_only,Vw,-100.0,0.9536046585740399,3138,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw14b,stage0_only,Vw,-100.0,0.9577807368213137,19588,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw14c,stage0_only,Vw,-100.0,0.9672223307621098,15825,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw15,stage0_only,Vw,,,0,True,,,,,,flat signal,,accel_correlation
V-Vw16a,stage0_only,Vw,-100.0,0.965329837936141,5878,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw16b,stage0_only,Vw,-100.0,0.9928899207301146,1125,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw17,stage0_only,Vw,-100.0,0.9803292336026748,329,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw2,stage0_only,Vw,-100.0,0.9548432951231656,52711,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw3,stage0_only,Vw,-100.0,0.9785800723698643,3860,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw4,stage0_only,Vw,-100.0,0.9457850286693408,126527,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw5,stage0_only,Vw,-100.0,0.9383563083822892,1011,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw6,stage0_only,Vw,-100.0,0.9662659134011501,1280,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw7,stage0_only,Vw,-100.0,0.7962020875197126,1601,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw8,stage0_only,Vw,-100.0,0.7575268391774606,1529,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vw9,stage0_only,Vw,0.0,0.8459820830790555,552,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Y1,stage0_only,Y,-100.0,0.922011571572304,76668,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Y2,stage0_only,Y,-100.0,0.8936398054623937,57212,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
S-A5,test,A,-1400.0,0.28829108393187697,85044,True,0.2905702376534386,-1400.0,1.1344640137963142,1.482303807367511,1.31;4.10;0.96,"levelled (yaw,lag) search",,accel_correlation
S-A6,test,A,-900.0,0.08578382303490498,85375,True,0.09205750929409795,-700.0,1.3962634015954636,0.14852899476560757,1.75;1.40;1.48,"levelled (yaw,lag) search",,accel_correlation
S-A7,test,A,-1100.0,-0.07551978052426093,43871,True,0.07562720036880662,-1000.0,1.0471975511965976,0.2894781923673341,0.96;0.70;1.40,"levelled (yaw,lag) search",,accel_correlation
S-A8,test,A,-1500.0,-0.12310376263826689,66616,True,0.12852981957237564,-1500.0,0.5235987755982988,1.8489875435275256,4.45;0.52;3.05,"levelled (yaw,lag) search",,accel_correlation
S-M,train,M,500.0,-0.09569078521766061,61760,True,0.0974050630372561,1200.0,2.6179938779914944,0.14852899476560683,2.71;2.62;2.36,"levelled (yaw,lag) search",,accel_correlation
S-S1,train,S,700.0,-0.3491644818077007,51745,True,0.3496878749339951,700.0,2.2689280275926285,0.10892113518765613,2.27;2.18;2.44,"levelled (yaw,lag) search",,accel_correlation
S-S2,train,S,1300.0,-0.23975058743825758,92011,True,0.23984571370466065,1300.0,3.0543261909900767,1.1650752819899406,5.67;0.00;3.75,"levelled (yaw,lag) search",,accel_correlation
S-S3a,train,S,2200.0,-0.2554152887694252,24620,True,0.25837110062728075,2200.0,2.705260340591211,0.3287337790982442,2.53;2.79;2.01,"levelled (yaw,lag) search",,accel_correlation
S-S3b,train,S,-5000.0,-0.06535007181366448,27076,True,0.1131952295646934,-3300.0,0.6981317007977318,0.4813262237799055,0.44;1.22;0.09,"levelled (yaw,lag) search",,accel_correlation
S-S3c,train,S,5000.0,-0.04481894941772693,37182,True,0.0501392799231524,5000.0,1.9198621771937625,0.1089211351876551,0.87;1.05;1.13,"levelled (yaw,lag) search",,accel_correlation
S-S4,train,S,-500.0,-0.055088426755470134,55780,True,0.05520756458788831,-300.0,2.356194490192345,1.3090238163645567,2.09;2.18;5.85,"levelled (yaw,lag) search",,accel_correlation
S-Vfa01,train,Vfa,1000.0,-0.47279961316564945,11485,True,0.4776687262364167,1000.0,2.0943951023931953,1.4823038073675112,5.24;5.32;2.09,"levelled (yaw,lag) search",,accel_correlation
S-Vfa02,train,Vfa,700.0,-0.4112509446653301,67523,True,0.4150070246167446,800.0,1.9198621771937625,1.4250382166376718,5.15;1.66;5.06,"levelled (yaw,lag) search",,accel_correlation
S-Vta10,train,Vta,-3500.0,0.27050531500642433,1502,True,0.2732690676666397,-3700.0,0.5235987755982988,0.8017891831770889,2.09;0.26;1.57,"levelled (yaw,lag) search",,accel_correlation
S-Vta11,train,Vta,-300.0,-0.3093735458861564,510,False,0.34550662480967526,-200.0,2.792526803190927,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta12,train,Vta,-200.0,-0.36368908690376034,610,False,0.40147505817732476,-200.0,0.6108652381980153,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta13,train,Vta,3300.0,-0.2959782637093922,404,True,0.5109099350548011,1500.0,2.96705972839036,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta14,train,Vta,5000.0,0.25768725781349955,2884,True,0.27483648700620394,2500.0,0.5235987755982988,0.5448899491412058,0.00;0.61;1.31,"levelled (yaw,lag) search",,accel_correlation
S-Vta15,train,Vta,2100.0,0.2851956544517156,833,True,0.3415803751176281,-1200.0,1.3962634015954636,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta16,train,Vta,700.0,0.21064904124657724,11334,True,0.21606656276431224,700.0,1.658062789394613,1.6063312026687904,1.13;4.45;2.79,"levelled (yaw,lag) search",,accel_correlation
S-Vta17,train,Vta,600.0,-0.3860630527087783,4530,True,0.38653638692980674,700.0,0.7853981633974483,0.6808261210756364,0.00;1.31;1.48,"levelled (yaw,lag) search",,accel_correlation
S-Vta19,train,Vta,,,0,True,,,,,,too few timestamps,,accel_correlation
S-Vta1a,train,Vta,100.0,-0.5264242657383584,25675,False,0.5441819460847921,100.0,2.5307274153917776,1.4579027998436178,5.85;2.62;2.27,"levelled (yaw,lag) search",,accel_correlation
S-Vta1b,train,Vta,100.0,-0.8522669198443967,954,False,0.8712944392599931,200.0,3.0543261909900767,1.4121482557715757,0.09;2.97;0.26,"levelled (yaw,lag) search",,accel_correlation
S-Vta2,train,Vta,300.0,-0.5622935760360211,10990,False,0.568745872139647,300.0,3.0543261909900767,1.4672591535908868,6.11;2.88;2.71,"levelled (yaw,lag) search",,accel_correlation
S-Vta20,train,Vta,-4700.0,-0.1610174315838902,3222,True,0.30377156947585626,-4800.0,2.792526803190927,1.6514717580522846,5.50;1.66;2.71,"levelled (yaw,lag) search",,accel_correlation
S-Vta21,train,Vta,1600.0,-0.3551516845435573,2078,True,0.3922905149370829,1600.0,3.752457891787808,0.1235310478491228,0.52;0.52;0.79,"levelled (yaw,lag) search",,accel_correlation
S-Vta22,train,Vta,4100.0,0.2595368056103357,1564,True,0.2672072343988658,4200.0,1.0471975511965976,1.808241341594283,1.48;3.05;5.06,"levelled (yaw,lag) search",,accel_correlation
S-Vta23,train,Vta,2100.0,0.39190216983070647,1109,True,0.39291300112900557,2100.0,6.021385919380437,1.4433804596021431,2.97;0.00;0.17,"levelled (yaw,lag) search",,accel_correlation
S-Vta24,train,Vta,4100.0,0.3079204830051098,1171,True,0.48009539915267835,2800.0,1.0471975511965976,0.3287337790982442,1.83;1.57;1.05,"levelled (yaw,lag) search",,accel_correlation
S-Vta25,train,Vta,-200.0,-0.4562251114986151,645,False,0.5352511838450021,5000.0,0.6981317007977318,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta26,train,Vta,2500.0,0.2865767279386119,1934,True,0.34327784823769275,4900.0,1.658062789394613,0.2982991532625624,1.57;2.27;1.75,"levelled (yaw,lag) search",,accel_correlation
S-Vta27,train,Vta,2600.0,0.4943531997658102,2540,True,0.49496506327402734,2600.0,1.658062789394613,0.3963171050572072,1.66;2.18;1.22,"levelled (yaw,lag) search",,accel_correlation
S-Vta28,train,Vta,700.0,0.28130985551187104,4210,True,0.28164868650485475,700.0,2.2689280275926285,1.048147073968205,2.36;1.57;0.00,"levelled (yaw,lag) search",,accel_correlation
S-Vta29,train,Vta,700.0,-0.173014993163061,23698,True,0.19112706670691768,400.0,2.792526803190927,1.174030916819465,1.40;2.97;0.35,"levelled (yaw,lag) search",,accel_correlation
S-Vta3,train,Vta,3300.0,-0.39870469313906515,644,True,0.5169415064206473,3600.0,2.2689280275926285,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta30,train,Vta,1300.0,0.3772409082144119,17135,True,0.37774563192762434,1400.0,0.17453292519943295,1.31667912324324,0.79;2.27;5.67,"levelled (yaw,lag) search",,accel_correlation
S-Vta4,train,Vta,3400.0,-0.307609432493456,1788,True,0.3235904900846636,2800.0,2.705260340591211,0.8811588335122486,2.27;2.88;0.87,"levelled (yaw,lag) search",,accel_correlation
S-Vta5,train,Vta,-700.0,0.3782144155910556,307,True,0.6547256918726743,-4000.0,1.7453292519943295,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta6,train,Vta,3800.0,-0.16156373770788748,1375,True,0.23919881976898405,-4400.0,2.443460952792061,1.2434517406821008,2.27;1.48;5.85,"levelled (yaw,lag) search",,accel_correlation
S-Vta7,train,Vta,4000.0,-0.4386033534856437,840,True,0.45558752828013477,4000.0,2.96705972839036,,,"levelled (yaw,lag) search",,accel_correlation
S-Vta8,train,Vta,4000.0,0.3559475062252129,3675,True,0.37043480435975507,4100.0,0.3490658503988659,1.432944184735813,0.96;4.01;3.05,"levelled (yaw,lag) search",,accel_correlation
S-Vta9,train,Vta,,,0,True,,,,,,too few timestamps,,accel_correlation
S-Vtb1,train,Vtb,1400.0,-0.3262009052366438,32458,True,0.343001116379598,1700.0,1.832595714594046,0.07127539885338095,1.83;2.01;1.92,"levelled (yaw,lag) search",,accel_correlation
S-Vtb10,train,Vtb,,,0,True,,,,,,too few timestamps,,accel_correlation
S-Vtb11,train,Vtb,3000.0,-0.41794238388383265,360,True,0.5070404851666239,-2500.0,4.363323129985823,,,"levelled (yaw,lag) search",,accel_correlation
S-Vtb12,train,Vtb,1000.0,-0.5272383727680986,447,True,0.5832449230172325,-300.0,2.705260340591211,,,"levelled (yaw,lag) search",,accel_correlation
S-Vtb2,train,Vtb,2400.0,-0.38529554736943233,5711,True,0.3963160426818655,2300.0,1.658062789394613,0.43461144475523944,1.31;1.75;2.36,"levelled (yaw,lag) search",,accel_correlation
S-Vtb3,train,Vtb,-500.0,0.35398020774436645,8239,False,0.35520716829700505,3300.0,5.93411945678072,0.6553867258026758,2.71;1.31;1.40,"levelled (yaw,lag) search",,accel_correlation
S-Vtb4,train,Vtb,4600.0,-0.3113857961643249,555,True,0.3246174000785592,4800.0,0.9599310885968813,,,"levelled (yaw,lag) search",,accel_correlation
S-Vtb5,train,Vtb,400.0,-0.42503340839723563,64388,False,0.42691002493226177,400.0,2.2689280275926285,0.25797517686134774,2.44;2.27;1.83,"levelled (yaw,lag) search",,accel_correlation
S-Vtb6,train,Vtb,-4100.0,0.2764788449259152,497,True,0.370953640839989,-4000.0,0.6981317007977318,,,"levelled (yaw,lag) search",,accel_correlation
S-Vtb7,train,Vtb,-2200.0,0.34685450728229006,461,True,0.4716383280971189,4600.0,0.08726646259971647,,,"levelled (yaw,lag) search",,accel_correlation
S-Vtb8,train,Vtb,100.0,-0.3504896455918059,667,False,0.40606286203887765,3800.0,3.665191429188092,,,"levelled (yaw,lag) search",,accel_correlation
S-Vtb9,train,Vtb,-2900.0,0.46397831450083904,451,True,0.5082552926172798,-2900.0,0.8726646259971648,,,"levelled (yaw,lag) search",,accel_correlation
S-Vw1,train,Vw,,,0,True,,,,,,flat signal,,accel_correlation
S-Vw10,train,Vw,400.0,-0.2842546975498066,652,True,0.29204151633823505,300.0,2.8797932657906435,,,"levelled (yaw,lag) search",,accel_correlation
S-Vw11,train,Vw,4000.0,0.46369474556728246,4908,True,0.4658631412313807,3900.0,0.0,0.25122193179192276,3.05;2.79;3.40,"levelled (yaw,lag) search",,accel_correlation
S-Vw12,train,Vw,2100.0,0.22434555598084102,917,True,0.23690659211404544,1900.0,0.9599310885968813,,,"levelled (yaw,lag) search",,accel_correlation
S-Vw13,train,Vw,,,0,True,,,,,,too few timestamps,,accel_correlation
S-Vw14a,train,Vw,-200.0,-0.44264973060376633,3138,False,0.45224762328249085,-200.0,4.4505895925855405,0.5547607447973751,1.92;1.05;0.61,"levelled (yaw,lag) search",,accel_correlation
S-Vw14b,train,Vw,1700.0,0.3688832869068933,19588,True,0.3758504774947871,1600.0,0.8726646259971648,1.1365777171165292,3.05;0.52;1.40,"levelled (yaw,lag) search",,accel_correlation
S-Vw14c,train,Vw,300.0,-0.23566216023944064,15825,True,0.24178027430674487,400.0,3.316125578789226,0.6935492459720226,1.66;0.44;0.09,"levelled (yaw,lag) search",,accel_correlation
S-Vw15,train,Vw,,,0,True,,,,,,flat signal,,accel_correlation
S-Vw16a,train,Vw,1400.0,-0.5897613991988199,5878,True,0.5959090711650856,1200.0,2.356194490192345,-0.0,2.36;2.36;2.36,"levelled (yaw,lag) search",,accel_correlation
S-Vw16b,train,Vw,3900.0,-0.5000449245536198,1126,True,0.5024956786393895,3900.0,1.3962634015954636,1.2638400779464034,5.15;1.40;1.31,"levelled (yaw,lag) search",,accel_correlation
S-Vw17,train,Vw,-1400.0,0.33759769233203524,329,True,0.4955842754264361,-5000.0,0.6108652381980153,,,"levelled (yaw,lag) search",,accel_correlation
S-Vw2,train,Vw,1500.0,0.4081215174308672,52712,True,0.4133255203777996,1500.0,4.886921905584122,1.5350568532118831,5.24;2.18;1.05,"levelled (yaw,lag) search",,accel_correlation
S-Vw3,train,Vw,3000.0,-0.20613578964399737,3861,True,0.20680328597301542,3000.0,0.8726646259971648,0.9451002716272183,5.67;4.45;0.35,"levelled (yaw,lag) search",,accel_correlation
S-Vw4,train,Vw,1700.0,-0.10441700772857124,126525,True,0.1062208212830463,1700.0,1.48352986419518,1.5916978796335504,4.54;5.76;2.44,"levelled (yaw,lag) search",,accel_correlation
S-Vw5,train,Vw,2400.0,0.29997729408325047,1012,True,0.3253713474461392,2300.0,0.5235987755982988,0.25797517686134736,0.00;0.44;0.61,"levelled (yaw,lag) search",,accel_correlation
S-Vw6,train,Vw,1200.0,0.10306113423042003,1280,True,0.21011853810532088,1400.0,6.021385919380437,0.5481964149932742,0.00;0.52;1.31,"levelled (yaw,lag) search",,accel_correlation
S-Vw7,train,Vw,2500.0,0.1548704656443868,1601,True,0.165524550009318,-300.0,0.2617993877991494,0.98505853711326,5.32;3.14;3.67,"levelled (yaw,lag) search",,accel_correlation
S-Vw8,train,Vw,3200.0,-0.18908371309799804,1528,True,0.19745189405791727,4500.0,1.48352986419518,0.6605495837423114,1.83;0.26;1.13,"levelled (yaw,lag) search",,accel_correlation
S-Vw9,train,Vw,-2200.0,0.5521856951018097,552,True,0.6104878104503831,-2200.0,0.6108652381980153,,,"levelled (yaw,lag) search",,accel_correlation
S-Y1,train,Y,-3800.0,0.0567348002512901,66908,True,0.058904784872239276,-4500.0,1.3962634015954636,0.20623485397185115,1.75;1.31;1.31,"levelled (yaw,lag) search",,accel_correlation
S-T1,validate,T,-100.0,0.19676279191251642,7384,True,0.22681215229418406,-200.0,3.0543261909900767,1.7447933121001975,3.05;4.89;1.40,"levelled (yaw,lag) search",,accel_correlation
