session,s_rows,v_rows,row_counts_equal,r_at_row0,peak_r,best_lag_rows,best_lag_ms,n_samples,note,speed_correlation
Vw9,552,553,False,-0.007406033881633741,0.2502643335171687,8.0,800.0,552.0,,-0.7204665163139877
Vta10,1502,1502,True,0.1378399677929564,0.17926846928051868,-53.0,-5300.0,1502.0,,0.9729777698225917
Vta11,510,510,True,0.5925703321183009,0.6612936799409437,4.0,400.0,510.0,,0.7694937597845816
Vta12,610,610,True,0.5327048501438272,0.5670436554858269,2.0,200.0,610.0,,0.9379135441839365
Vta13,404,404,True,,,,,,only 404 usable rows,
Vta14,2885,2885,True,0.11096721259760675,0.17186202969757813,-44.0,-4400.0,2885.0,,0.9594306988435951
Vta15,833,833,True,0.07099296089565152,-0.25442503998430327,-45.0,-4500.0,833.0,,0.9020681039825745
Vta16,11335,11335,True,0.19390701855308115,0.30977985522297335,16.0,1600.0,11335.0,,0.9726052385325497
Vta17,4519,4519,True,0.02657594098482393,0.15870582799807692,16.0,1600.0,4519.0,,0.891663871207646
Vta19,292,292,True,,,,,,only 292 usable rows,
Vta1a,25676,25676,True,0.053554906809405195,0.09877117818473774,-83.0,-8300.0,25676.0,,0.8847203434634207
Vta1b,954,953,False,0.17489041676412037,0.2841089297287036,5.0,500.0,953.0,,0.9988276991525752
Vta2,10991,10991,True,0.1625827042339769,0.2613143467007567,9.0,900.0,10991.0,,0.9963837437888178
Vta20,3223,3223,True,0.49365802896242933,0.49486993501643795,-1.0,-100.0,3223.0,,0.43627338187085635
Vta21,2079,2079,True,-0.13915200787127996,0.2810622819073646,98.0,9800.0,2079.0,,0.9057034610652185
Vta22,1564,1564,True,0.03005343181173434,0.3182893277779001,-92.0,-9200.0,1564.0,,0.8337236239471242
Vta23,1110,1110,True,-0.08330761774885773,-0.2595581992905745,-49.0,-4900.0,1110.0,,0.8967393140848166
Vta24,1171,1171,True,0.4186326377070053,0.6206302103813409,12.0,1200.0,1171.0,,0.9422398865453048
Vta25,646,646,True,0.7941004435967925,0.8424397093438927,-3.0,-300.0,646.0,,0.9613313752265435
Vta26,1935,1935,True,-0.38109281542381934,-0.5101078651269162,79.0,7900.0,1935.0,,0.9669324964018521
Vta27,2540,2540,True,0.006316343811830191,0.12788252015190776,78.0,7800.0,2540.0,,0.6448777561620356
Vta28,4210,4210,True,0.15047774632213448,0.2157777813490713,40.0,4000.0,4210.0,,0.8918542314920923
Vta29,23705,23705,True,0.13541695301964868,0.24158208459101715,-41.0,-4100.0,23705.0,,0.9534711447426055
Vta3,645,645,True,-0.14543361957867185,-0.16757510549801335,-100.0,-10000.0,645.0,,-0.714265456453563
Vta30,17136,17136,True,0.09491425813244153,0.32538990772511867,37.0,3700.0,17136.0,,0.9686194674895926
Vta4,1789,1789,True,-0.06963370705961568,0.12208270742093251,90.0,9000.0,1789.0,,0.8728163554403358
Vta5,307,307,True,,,,,,only 307 usable rows,
Vta6,1376,1376,True,-0.12335801600521971,-0.21203562983028723,43.0,4300.0,1376.0,,0.9511266700440176
Vta7,840,840,True,0.3536877782025468,0.5159255505808997,15.0,1500.0,840.0,,0.9844091472816008
Vta8,3676,3676,True,0.28144975831777663,0.34351287851601564,10.0,1000.0,3676.0,,0.9859170964436331
Vta9,156,156,True,,,,,,only 156 usable rows,
Vtb1,32459,32459,True,0.1094307805508888,0.2002129004840215,12.0,1200.0,32459.0,,0.7708256693315984
Vtb10,196,195,False,,,,,,only 195 usable rows,
Vtb11,361,361,True,,,,,,only 361 usable rows,
Vtb12,447,447,True,,,,,,only 447 usable rows,
Vtb2,5712,5712,True,0.11745988113520293,0.17456347198991115,9.0,900.0,5712.0,,0.9633604367589105
Vtb3,8240,8240,True,0.24606385784864396,0.3041657489511801,4.0,400.0,8240.0,,0.9437927577665207
Vtb4,556,556,True,-0.19281859535887094,-0.38086466814154263,-41.0,-4100.0,556.0,,0.8711821940990565
Vtb5,64388,64388,True,0.06968881498809096,0.09927081413979137,57.0,5700.0,64388.0,,0.8229155294087724
Vtb6,498,498,True,,,,,,only 498 usable rows,
Vtb7,461,461,True,,,,,,only 461 usable rows,
Vtb8,668,668,True,0.07257303680128141,-0.24611573520060298,29.0,2900.0,668.0,,0.7201746255204168
Vtb9,452,452,True,,,,,,only 452 usable rows,
